sandwiches and burgers	roast beef sandwich with cheese,steak sandwich
domino's fourteen" sausage pizza	crunchy thin crust,classic hand tossed crust,ultimate deep dish crust
pizza hut twelve" cheese pizza	hand tossed crust,pan crust,thin 'n crispy crust
salad	grape and apple with yogurt and candied walnuts
papa john's fourteen" pepperoni pizza	original crust
burger king	vanilla shake,french fries,hamburger,cheeseburger,whopper,no cheese,with cheese,double whopper,chicken strips,premium fish sandwich,original chicken sandwich,croissan'wich with sausage,egg and cheese,croissan'wich with sausage and cheese,croissan'wich with egg and cheese,french toast sticks,hash brown rounds,double cheeseburger,onion rings
domino's fourteen" extravaganzza feast pizza	classic hand tossed crust
digiorno pizza	cheese topping,cheese stuffed crust,frozen,baked,rising crust,thin crispy crust,pepperoni topping,supreme topping
domino's fourteen" pepperoni pizza	classic hand tossed crust,ultimate deep dish crust,crunchy thin crust
entrees	crab cake,fish fillet,battered or breaded,and fried
popeyes	batter fries,analyzed prior to december two thousand and six,biscuit,coleslaw,mild chicken strips,analyzed two thousand and six,spicy chicken strips,fried chicken,mild,breast,meat only,skin and breading removed,drumstick,skin and breading,thigh,wing,meat and skin with breading
